Platform,Year_of_Release,Publisher,NA_Sales,EU_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Target
7.0,2002.0,101.0,252.0,81.0,365.0,82.0,42.0,79.0,82.0,816.0,4.0,5.0
7.0,2001.0,101.0,208.0,109.0,364.0,90.0,35.0,87.0,312.0,460.0,1.0,10.0
7.0,2007.0,61.0,5.0,0.0,363.0,82.0,10.0,79.0,38.0,382.0,1.0,0.0
7.0,2005.0,19.0,208.0,83.0,362.0,96.0,38.0,89.0,1013.0,129.0,4.0,2.0
12.0,2008.0,5.0,231.0,96.0,362.0,86.0,18.0,76.0,71.0,783.0,5.0,10.0
8.0,2009.0,30.0,60.0,245.0,362.0,91.0,56.0,76.0,203.0,222.0,1.0,8.0
7.0,2004.0,63.0,193.0,122.0,361.0,82.0,36.0,87.0,142.0,512.0,5.0,8.0
7.0,2001.0,30.0,202.0,117.0,361.0,64.0,23.0,77.0,32.0,263.0,5.0,8.0
4.0,2001.0,80.0,238.0,67.0,360.0,78.0,34.0,85.0,161.0,477.0,1.0,0.0
9.0,2013.0,30.0,135.0,155.0,359.0,85.0,18.0,69.0,1580.0,213.0,4.0,10.0
7.0,2005.0,63.0,218.0,102.0,359.0,84.0,30.0,90.0,268.0,512.0,5.0,4.0
2.0,2007.0,1.0,160.0,149.0,358.0,70.0,39.0,80.0,9.0,495.0,1.0,0.0
7.0,2006.0,117.0,156.0,140.0,354.0,78.0,49.0,78.0,112.0,588.0,4.0,9.0
7.0,2002.0,101.0,123.0,177.0,354.0,72.0,49.0,68.0,88.0,719.0,4.0,8.0
7.0,2001.0,30.0,190.0,112.0,353.0,72.0,27.0,79.0,48.0,218.0,5.0,4.0
14.0,2010.0,30.0,71.0,239.0,352.0,88.0,66.0,75.0,155.0,222.0,1.0,4.0
14.0,2008.0,30.0,266.0,49.0,351.0,89.0,67.0,79.0,1309.0,138.0,4.0,0.0
16.0,2014.0,126.0,227.0,90.0,350.0,72.0,59.0,41.0,1005.0,773.0,4.0,8.0
